request_id,user_id,timestamp,device_id,location_lat,location_long,request_type,typing_speed,interaction_rhythm
52f0756e-06dd-496c-8dca-c215547ec1ce,USER_008,2026-05-01 02:20:23,DEV_919,1.455089,38.555233,LOGIN,258.3,0.91
d2057157-14f0-49c1-993c-f4f6f49f5ac3,USER_010,2026-05-01 01:39:23,DEV_775,1.363277,37.862534,LOGIN,215.48,1.42
4bf48a66-c61e-4ee1-9db5-216a489a1ec6,USER_003,2026-05-01 00:37:23,DEV_322,0.042846,40.92961,SIM_REPLACEMENT,229.46,0.85
7782462f-9b6f-4431-a017-3714c8a1d4b2,USER_004,2026-05-01 09:14:23,DEV_288,-2.262079,39.302727,LOGIN,251.62,0.8
c53c5f92-0cfa-4696-9ecd-8d378919de5f,USER_008,2026-04-30 21:06:23,DEV_207,-2.40675,37.093065,SIM_REPLACEMENT,184.48,1.21
fb6eb59e-7a18-4c75-9c9d-3797d8ec8fcb,USER_003,2026-05-01 05:01:23,DEV_322,-2.151009,37.840587,SIM_REPLACEMENT,211.6,1.0
1903fbf4-11b3-41ca-ab2a-4e9bf5b8c295,USER_010,2026-05-01 02:36:23,DEV_162,-0.536905,38.814302,SIM_REPLACEMENT,201.88,0.88
e259a700-9bd5-4639-bf32-327abc6dbadf,USER_004,2026-04-30 21:42:23,DEV_405,3.680113,36.093792,SIM_REPLACEMENT,172.99,1.09
a5b59d62-3c58-492a-b9bd-b452c81257e7,USER_010,2026-04-30 14:26:23,DEV_717,1.876371,40.048221,SIM_REPLACEMENT,206.13,1.12
dadb8b77-f03c-48a8-89ce-5b09f4815cee,USER_010,2026-05-01 00:52:23,DEV_207,1.530485,35.938489,LOGIN,163.34,1.07
406dd07c-0aca-415b-96b8-b840541a965f,USER_005,2026-04-30 18:32:23,DEV_323,0.066579,35.421856,LOGIN,195.92,1.38
